FE,32.8,32.4,32.5,32.3,32.2,32.3,32.3,32.2,32.4,32.0,32.3,32.8,32.0,32.3,32.2,32.5,32.0,32.6,32.4,32.1,32.5,32.4,32.3,32.2,32.4,32.2,31.9,32.2,32.1,32.5,32.0,32.1,32.0,32.7,31.9,31.8,31.9,32.1,32.2,32.3,32.9,32.2,31.9,32.4,32.5,32.4,32.9,32.5,32.2,31.9,32.1,32.2,32.0,32.0,32.7,32.1,32.4,32.0,32.4,32.0,31.8,32.3,32.3,32.6,32.1,32.1,31.8,31.9,32.7,32.4,32.5,32.9,32.0,32.6,32.0,32.3,32.1,32.2,32.2,32.3,32.1,32.1,32.0,32.1,32.5,32.6,32.6,31.8,31.9,31.9,31.8,32.2,31.9,32.1,32.2,32.0,32.0,32.3,32.4,32.5
BAD,7.5,7.3,7.2,7.2,7.2,7.2,7.3,7.1,7.3,7.3,7.2,7.3,7.2,7.2,7.2,7.1,7.2,7.2,7.1,7.2,7.1,7.2,7.2,7.2,7.2,7.3,7.2,7.3,7.2,7.3,7.2,7.2,7.3,7.2,7.2,7.3,7.3,7.3,7.2,7.3,7.3,7.2,7.2,7.3,7.3,7.1,7.2,7.1,7.2,7.3,7.2,7.2,7.1,7.3,7.3,7.3,7.3,7.3,7.2,7.2,7.1,7.3,7.2,7.3,7.3,7.3,7.2,7.3,7.2,7.2,7.1,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.3,7.2,7.2,7.4,7.2,7.2,7.2,7.3,7.2,7.2,7.3,7.2,7.2,7.2,7.2,7.1,7.3,7.2,7.2,7.1,7.3,7.2
BE,29.6,28.5,28.4,28.4,28.6,28.5,28.5,28.5,28.6,28.6,28.4,28.5,28.7,28.5,28.6,28.7,28.5,28.7,28.4,28.6,28.4,28.5,28.5,28.5,28.4,28.4,28.8,28.6,28.7,28.5,28.6,28.6,28.6,28.5,28.7,28.6,28.7,28.6,28.8,28.4,28.2,28.6,28.9,28.5,28.4,28.4,28.4,28.5,28.5,28.7,28.5,28.4,28.6,28.5,28.2,28.6,28.3,28.6,28.5,28.8,28.8,28.6,28.5,28.3,28.5,28.5,28.8,28.6,28.4,28.5,28.0,28.2,28.7,28.3,28.5,28.4,28.6,28.5,28.4,28.4,28.6,28.4,28.7,28.6,28.4,28.4,28.3,28.8,28.7,28.8,28.8,28.7,28.7,28.5,28.6,28.7,28.7,28.7,28.5,28.4
RET,30.1,31.8,31.9,32.1,32.0,32.0,32.0,32.2,31.8,32.1,32.0,31.4,32.1,32.0,31.9,31.7,32.3,31.5,32.0,32.1,32.0,32.0,32.1,32.1,32.0,32.1,32.1,32.0,32.0,31.8,32.2,32.2,32.2,31.6,32.1,32.2,32.1,32.1,31.8,32.0,31.7,32.0,32.1,31.9,31.9,32.2,31.6,31.9,32.2,32.1,32.2,32.2,32.2,32.2,31.8,32.0,31.9,32.2,31.8,32.0,32.3,31.8,32.0,31.8,32.1,32.1,32.2,32.2,31.7,31.9,32.4,31.7,32.1,31.9,32.3,32.0,32.1,32.1,32.2,32.1,32.2,32.1,32.1,32.1,31.9,31.7,32.0,32.2,32.1,32.0,32.2,31.9,32.2,32.2,32.0,32.0,32.1,31.9,31.9,31.9
MUX,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
