FE,6.9,6.9,6.7,6.8,6.8,6.8,6.8,6.8,6.7,6.8,6.7,6.8,6.8,6.8,6.8,6.8,6.8,6.7,6.9,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.9,6.7,6.8,6.8,6.8,6.7,6.8,6.7,5.7,6.8,6.8,6.8,6.7,6.8,6.7,6.7,7.0,6.8,6.9,6.8,6.7,6.8,6.8,6.7,6.7,7.5,6.9,6.7,6.8,6.7,6.7,6.8,6.8,6.7,6.8,6.8,6.7,6.7,6.8,6.7,6.8,6.7,6.7,6.8,6.8,6.8,6.7,6.7,6.8,6.8,6.8,6.7,6.7,6.8,6.8,6.8,6.8,6.7,6.8,6.8,6.7,6.8,6.7,6.8,6.7,6.7,6.7,6.7,6.8,6.7,6.7,6.7,6.8
BAD,3.1,3.2,3.2,3.2,3.2,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.2,3.2,3.2,3.2,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.2,3.2,3.0,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.2,3.2,3.2,3.2,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.2
BE,41.7,41.2,41.2,41.2,40.9,41.4,41.2,41.1,41.2,41.2,41.2,41.2,41.0,41.2,41.2,41.1,41.2,41.2,41.1,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.1,41.2,41.2,41.2,41.2,41.2,41.2,41.2,44.5,41.2,41.2,41.3,41.2,41.1,41.2,41.2,41.1,41.0,41.0,41.2,41.2,41.1,41.2,41.2,41.2,40.3,40.9,41.2,41.1,41.3,41.2,41.1,41.2,41.2,41.1,41.1,41.1,41.2,41.2,41.2,41.1,41.2,41.2,41.2,41.1,41.1,41.2,41.2,41.1,41.1,41.1,41.2,41.2,41.2,41.2,41.1,41.1,41.2,41.1,41.1,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2
RET,48.2,48.8,48.9,48.9,49.0,48.7,48.9,48.9,48.9,48.9,48.9,48.9,49.0,48.9,48.9,48.9,48.9,48.9,48.8,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,49.0,48.9,48.9,48.9,46.7,48.9,48.9,48.8,48.9,48.9,48.9,48.9,48.8,49.0,48.9,48.9,48.9,48.9,48.9,48.9,48.9,49.0,49.0,48.9,48.9,48.8,48.9,48.9,48.9,48.9,48.9,48.9,49.0,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9
MUX,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
