FE,6.3,6.3,6.2,6.3,6.3,6.2,6.2,6.3,6.2,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.2,6.2,4.8,6.2,6.3,6.3,6.2,6.2,6.2,6.2,6.2,6.3,6.1,6.3,6.3,6.2,6.2,6.3,6.2,6.2,6.2,6.2,6.2,6.2,6.3,6.2,6.2,6.3,6.2,4.9,6.3,6.2,6.2,6.2
BAD,33.1,33.2,33.2,33.2,33.0,33.0,33.1,33.0,33.2,33.4,33.3,33.3,33.2,33.2,33.1,33.2,33.1,33.1,32.6,33.2,33.1,33.1,33.1,33.1,33.2,33.1,33.1,33.0,33.0,33.0,33.1,33.1,33.2,33.0,33.1,33.1,33.2,33.2,33.3,33.3,33.0,33.2,33.2,33.1,33.1,32.4,33.1,33.1,33.3,33.2
BE,9.3,9.2,9.2,9.2,9.3,9.2,9.2,9.3,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,11.8,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.5,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,11.9,9.2,9.2,9.2,9.2
RET,51.4,51.3,51.3,51.4,51.5,51.5,51.5,51.4,51.4,51.3,51.3,51.3,51.4,51.4,51.3,51.3,51.5,51.4,50.8,51.4,51.4,51.4,51.5,51.5,51.4,51.4,51.4,51.4,51.4,51.5,51.4,51.5,51.4,51.5,51.5,51.5,51.4,51.4,51.3,51.3,51.5,51.4,51.4,51.4,51.4,50.8,51.4,51.5,51.3,51.4
MUX,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
