0,11.62
1,10.40
2,9.80
3,9.36
4,8.73
5,8.39
6,7.98
7,7.73
8,7.56
9,7.16
10,6.88
11,6.59
12,6.52
13,6.53
14,6.51
15,6.51
16,6.51
17,6.52
18,6.51
19,6.51
20,6.51
21,6.51
22,6.51
23,6.51
24,6.51
25,6.51
26,6.51
27,6.51
28,6.50
29,6.52
30,6.52
31,6.51
32,6.51
33,6.51
34,6.51
35,6.51
36,6.51
37,6.51
38,6.51
39,6.51
40,6.51
41,6.52
42,6.51
43,6.51
44,6.52
45,6.51
46,6.52
47,6.51
48,6.51
49,6.51
50,6.51
51,6.51
52,6.52
53,6.50
54,6.51
55,6.52
56,6.52
57,6.51
58,6.51
59,6.51
60,6.52
61,6.51
62,6.51
63,6.52
64,6.51
65,6.50
66,6.51
67,6.51
68,6.52
69,6.51
70,6.51
71,6.51
72,6.51
73,6.51
74,6.50
75,6.52
76,6.51
77,6.51
78,6.51
79,6.52
80,6.51
81,6.51
82,6.52
83,6.52
84,6.51
85,6.51
86,6.52
87,6.52
88,6.52
89,6.53
90,6.51
91,6.53
92,6.53
93,6.51
94,6.52
95,6.53
96,6.51
97,6.50
98,6.51
99,6.50
100,6.51
101,6.51
102,6.50
103,6.51
104,6.50
105,6.52
106,6.51
107,6.51
108,6.51
109,6.51
110,6.51
111,6.51
112,6.50
113,6.51
114,6.51
115,6.51
116,6.51
117,6.51
118,6.51
119,6.51
120,6.50
121,6.52
122,6.51
123,6.52
124,6.51
125,6.51
126,6.52
127,6.51
128,6.51
129,6.51
130,6.51
131,6.51
132,6.52
133,6.50
134,6.51
135,6.51
136,6.50
137,6.52
138,6.51
139,6.50
140,6.51
141,6.51
142,6.51
143,6.51
144,6.52
145,6.51
146,6.53
147,6.50
148,6.51
149,6.51
150,6.50
151,6.51
152,6.50
153,6.51
154,6.51
155,6.50
156,6.51
157,6.51
158,6.50
159,6.51
160,6.52
161,6.50
162,6.51
163,6.51
164,6.50
165,6.52
166,6.51
167,6.50
168,6.51
169,6.50
170,6.51
171,6.51
172,6.50
173,6.51
174,6.50
175,6.51
176,6.51
177,6.51
178,6.51
179,6.52
180,6.50
181,6.50
182,6.51
183,6.51
184,6.51
185,6.51
186,6.51
187,6.51
188,6.50
189,6.51
190,6.51
191,6.51
192,6.51
193,6.50
194,6.51
195,6.51
196,6.51
197,6.51
198,6.51
199,6.51
200,6.51
201,6.50
202,6.51
203,6.51
204,6.50
205,6.51
206,6.51
207,6.51
208,6.51
209,6.51
210,6.50
211,6.51
212,6.50
213,6.51
214,6.51
215,6.51
216,6.51
217,6.51
218,6.51
219,6.51
220,6.51
221,6.50
222,6.52
223,6.51
224,6.51
225,6.51
226,6.51
227,6.51
228,6.51
229,6.51
230,6.51
231,6.50
232,6.51
233,6.51
234,6.50
235,6.51
236,6.51
237,6.51
238,6.51
239,6.52
240,6.51
241,6.51
242,6.51
243,6.51
244,6.50
245,6.51
246,6.51
247,6.51
248,6.51
249,6.51
250,6.50
251,6.51
252,6.52
253,6.50
254,6.51
255,6.51
256,6.51
257,6.51
258,6.50
259,6.51
260,6.51
261,6.51
262,6.51
263,6.50
