FE,35.2,33.5,33.3,32.0,32.2,32.0,32.3,32.8,32.5,32.9,32.6,32.7,32.1,33.2,32.1,32.0,32.5,32.4,32.2,32.5,32.6,32.7,32.8,33.0,32.7,32.6,32.7,32.7,32.7,32.3,32.3,32.1,32.3,32.4,32.3,32.3,31.9,32.2,32.0,32.5,32.2,32.2,32.3,32.7,33.0,32.6,32.5,32.6,32.4,33.0
BAD,6.4,6.7,6.7,6.5,6.7,6.6,6.7,6.8,6.6,6.6,6.5,6.6,6.6,6.7,6.7,6.6,6.7,6.6,6.7,6.7,6.7,6.6,6.7,6.7,6.7,6.7,6.7,6.6,6.7,6.7,6.6,6.6,6.5,6.6,6.7,6.6,6.7,6.5,6.5,6.8,6.7,6.7,6.7,6.7,6.6,6.7,6.8,6.6,6.7,6.8
BE,28.0,27.9,27.8,28.0,27.7,28.1,28.8,28.0,28.3,28.4,28.3,28.5,29.5,28.1,28.1,28.3,28.4,27.8,28.4,28.3,28.3,28.2,28.1,28.2,28.3,28.1,28.2,28.3,28.2,27.9,28.0,28.5,28.0,28.1,28.1,28.0,28.5,28.0,27.8,27.7,27.9,28.0,28.4,28.2,28.1,28.2,28.1,27.9,28.0,28.1
RET,30.4,31.9,32.2,33.5,33.4,33.3,32.2,32.5,32.5,32.0,32.6,32.2,31.9,31.9,33.1,33.0,32.4,33.2,32.6,32.5,32.3,32.5,32.3,32.1,32.4,32.6,32.4,32.4,32.4,33.0,33.1,32.8,33.1,32.9,32.9,33.2,33.0,33.2,33.7,33.1,33.1,33.1,32.6,32.4,32.3,32.5,32.6,33.0,32.8,32.2
MUX,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
