FE,3.4,3.4,3.3,3.4,3.3,3.4,3.4,3.3,3.4,3.4,3.4,3.4,3.4,3.3,3.3,3.4,3.4,3.3,3.4,3.3,3.4,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.3,3.4,3.3,3.3,3.3,3.4,3.4,3.4,3.3,3.3,3.3,3.4,3.3,3.4,3.4,3.4,3.4,3.3,3.4,3.3,3.4,3.4,3.3,3.4,3.4,3.4,3.4,3.3,3.3,3.3,3.4,3.3,3.4,3.4,3.4,3.4,3.3,3.3,3.4,3.4,3.4,3.4,3.3,3.4,3.4,3.4,3.3,3.3,3.3,3.4,3.3,3.3,3.3,3.4,3.4,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.3,3.4,3.3,3.4,3.3,3.4,3.4,3.3,3.3,3.3
BAD,1.8,1.7,1.7,1.8,1.7,1.7,1.8,1.7,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.7,1.7,1.7,1.8,1.7,1.7,1.8,1.8,1.7,1.8,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.7,1.8,1.8,1.8,1.8,1.7,1.8,1.8,1.7,1.7,1.7,1.7,1.8,1.8,1.7,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.7,1.8,1.8,1.7,1.7,1.7,1.8,1.7,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.7,1.7,1.7,1.8,1.7,1.8,1.7,1.7,1.8,1.7
BE,4.5,4.5,4.5,4.4,4.5,4.5,4.4,4.5,4.4,4.4,4.5,4.4,4.5,4.6,4.4,4.4,4.5,4.4,4.5,4.4,4.5,4.4,4.4,4.5,4.4,4.4,4.5,4.4,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.4,4.4,4.5,4.5,4.5,4.4,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.4,4.4,4.4,4.5,4.5,4.4,4.5,4.4,4.4,4.5,4.4,4.5,4.4,4.5,4.5,4.5,4.4,4.4,4.4,4.5,4.3,4.4,4.5,4.4,4.4,4.5,4.4,4.4,4.4,4.5,4.4,4.5,4.5,4.5,4.5,4.5,4.3,4.4,4.3,4.5,4.3,4.4,4.5,4.5,4.4,4.5
RET,90.3,90.4,90.5,90.4,90.5,90.4,90.4,90.4,90.5,90.4,90.3,90.4,90.3,90.4,90.6,90.5,90.4,90.6,90.3,90.6,90.4,90.6,90.6,90.4,90.5,90.5,90.3,90.5,90.5,90.4,90.5,90.6,90.6,90.5,90.4,90.3,90.5,90.6,90.4,90.4,90.5,90.5,90.3,90.4,90.4,90.6,90.5,90.5,90.4,90.4,90.6,90.5,90.4,90.4,90.5,90.6,90.6,90.4,90.3,90.6,90.3,90.4,90.5,90.4,90.6,90.4,90.5,90.3,90.3,90.3,90.6,90.4,90.4,90.4,90.6,90.6,90.4,90.5,90.5,90.5,90.6,90.5,90.5,90.5,90.6,90.5,90.4,90.4,90.3,90.3,90.6,90.5,90.6,90.3,90.6,90.4,90.4,90.4,90.5,90.4
MUX,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
