FE,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
BAD,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
BE,30.0,30.0,30.2,29.9,30.0,29.9,30.0,30.0,29.9,30.0
RET,68.5,68.6,68.4,68.6,68.5,68.6,68.6,68.6,68.6,68.6
MUX,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
