FE,4.7,4.6,4.6,4.7,4.6,4.6,4.6,4.7,4.6,4.7,4.7,4.6,4.6,4.6,4.7,4.7,4.6,4.6,4.5,4.7,4.6,4.6,4.6,4.6,4.6,4.7,4.7,4.9,4.6,4.6,4.6,4.5,4.6,4.6,4.6,4.6,4.7,4.6,4.6,4.6,4.6,4.6,4.8,4.6,4.8,4.6,4.7,4.6,4.6,4.7
BAD,30.7,30.3,30.3,30.3,30.3,30.8,30.8,29.7,29.7,29.7,29.6,29.8,30.3,30.3,30.2,30.3,31.1,31.1,29.2,29.2,30.5,30.5,30.4,30.4,29.8,29.7,29.6,29.5,30.1,30.1,30.2,30.2,30.1,29.9,29.8,29.9,29.9,31.3,32.0,30.7,30.7,30.0,29.9,29.8,29.7,30.1,30.1,29.9,29.9,30.3
BE,10.4,10.2,10.1,10.2,10.3,10.2,10.1,10.3,10.3,10.4,10.6,10.3,10.1,10.2,10.2,10.2,10.0,10.0,10.7,10.4,10.2,10.3,10.1,10.1,10.2,10.3,10.3,10.3,10.3,10.2,10.3,10.2,10.2,10.2,10.2,10.4,10.3,10.0,10.0,10.2,10.1,10.3,10.2,10.3,10.3,10.2,10.3,10.2,10.2,10.2
RET,54.2,54.9,55.0,54.9,54.9,54.4,54.5,55.3,55.3,55.2,55.1,55.3,54.9,54.9,54.8,54.9,54.3,54.3,55.6,55.7,54.7,54.6,54.9,54.9,55.4,55.3,55.4,55.3,55.1,55.1,54.9,55.1,55.1,55.3,55.3,55.1,55.2,54.0,53.4,54.5,54.5,55.1,55.1,55.3,55.2,55.1,54.9,55.2,55.2,54.8
MUX,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
