FE,17.2,16.1,15.9,16.0,15.5,15.3,15.3,15.5,15.3,15.3,15.8,15.0,15.1,15.1,15.2,15.5,17.0,15.5,15.5,15.6,15.4,15.3,15.2,15.5,15.3,15.4,15.1,15.3,15.5,15.2,15.1,15.2,16.9,14.9,15.0,15.1,15.0,15.2,15.1,15.2,15.3,15.0,15.4,15.1,15.3,15.0,15.3,15.0,15.2,15.5,15.2,15.4,15.1,15.1,15.3,15.1,15.5,15.2,15.2,15.2,15.3,15.1,15.3,14.9,15.3,15.0,15.2,15.1,15.5,15.2,15.9,15.3,15.3,15.1,15.2,16.0,15.1,15.2,15.3,15.3,15.3,15.4,15.3,15.0,15.4,15.3,15.1,15.5,15.3,14.9,15.3,15.1,15.6,14.9,12.0,12.1,15.0,15.5,15.3,16.2
BAD,6.1,6.0,6.0,5.9,6.0,6.0,6.1,6.1,6.0,6.1,6.0,6.0,6.0,6.0,5.9,6.0,6.0,6.0,6.1,6.0,6.0,6.1,5.9,6.1,6.1,6.0,5.9,6.0,5.9,5.9,6.0,6.0,5.9,6.0,5.9,6.0,6.0,6.0,5.9,5.9,5.9,5.9,5.9,6.0,6.0,6.0,6.0,6.0,5.9,5.9,6.0,6.0,5.9,6.0,6.0,6.0,6.0,6.0,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,6.0,5.9,6.0,6.0,6.0,5.9,5.9,5.9,5.9,6.0,6.0,5.9,5.9,6.0,5.9,6.0,6.0,6.0,5.9,6.0,5.9,5.9,6.0,5.9,6.0,6.0,5.9,5.3,5.2,5.9,6.0,5.9,6.0
BE,36.7,36.6,36.7,36.6,36.8,36.9,36.8,36.8,36.9,36.7,36.5,37.0,37.2,36.9,36.9,36.7,35.7,36.8,36.7,36.6,36.7,36.9,36.7,36.7,36.9,36.8,36.9,36.9,36.4,36.9,36.9,37.0,35.8,37.0,37.0,37.0,37.0,36.9,37.0,36.9,36.8,37.0,37.0,36.9,36.7,36.8,36.8,37.0,36.9,36.6,36.8,36.8,36.9,36.9,36.9,36.7,36.7,36.8,36.9,36.9,36.8,37.0,36.7,37.0,36.8,37.0,37.0,36.9,36.6,36.9,36.6,36.7,36.9,37.0,36.8,36.7,36.9,36.9,36.8,36.8,36.7,36.8,36.8,36.9,36.8,36.9,37.0,36.6,36.8,37.0,36.7,37.0,36.4,36.9,45.8,46.2,37.0,36.7,36.8,35.7
RET,39.9,41.3,41.5,41.5,41.8,41.9,41.8,41.7,41.9,41.9,41.7,42.0,41.8,41.9,41.9,41.8,41.3,41.8,41.8,41.9,41.9,41.7,42.1,41.7,41.7,41.8,42.1,41.7,42.1,42.0,42.0,41.8,41.5,42.1,42.1,41.9,42.1,41.9,42.0,41.9,42.0,42.1,41.7,42.0,42.0,42.2,41.9,42.1,42.0,41.9,42.0,41.9,42.1,42.0,41.9,42.2,41.8,42.1,42.0,42.0,42.0,42.0,42.1,42.2,42.0,42.1,41.8,42.0,42.0,41.9,41.5,42.0,41.9,42.1,42.0,41.4,42.0,41.9,41.9,41.9,42.1,41.9,41.9,42.1,41.9,41.9,42.0,42.0,42.0,42.1,42.1,42.0,42.0,42.2,36.9,36.5,42.1,41.9,42.0,42.1
MUX,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
