FE,5.6,5.5,5.6,5.6,5.5,5.5,5.6,5.6,5.5,5.5,5.6,5.5,5.5,5.6,5.5,5.5,5.5,5.6,5.5,5.5,5.6,5.5,5.5,5.5,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.6,5.5,5.5,5.6,5.5,5.5,5.5,5.6,5.5,5.5,5.6,5.5,5.5,5.5,5.6,5.5,5.5,5.6,5.5,5.5,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.6,5.5,5.5,5.6,5.5,5.5,5.5,5.6,5.5,5.5,5.6,5.5,5.5,5.5,5.6,5.5,5.5,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
BAD,2.1,2.0,2.1,2.1,2.0,2.1,2.1,2.1,2.0,2.1,2.1,2.1,2.0,2.1,2.0,2.1,2.0,2.0,2.0,2.1,2.1,2.0,2.1,2.0,2.0,2.1,2.1,2.0,2.1,2.1,1.5,2.1,2.0,2.1,2.1,2.1,2.0,2.0,2.1,2.1,2.0,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.1,2.1,2.0,2.1,2.1,2.0,2.0,2.1,2.1,2.0,2.1,2.1,2.0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.1,2.1,2.0,2.1,2.1,2.1,2.0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.1,2.0,2.0,2.1,2.1,2.0,2.1,2.0,2.1,2.0,2.0
BE,13.7,14.2,13.7,13.7,14.0,13.7,13.7,13.7,14.2,13.6,13.7,13.7,14.0,13.7,14.0,13.7,14.2,14.0,14.2,13.7,13.7,14.0,13.7,14.0,14.0,13.7,13.7,14.0,13.7,13.7,14.4,13.7,14.0,13.7,13.7,13.7,14.2,14.0,13.7,13.7,14.3,13.7,13.7,13.7,14.0,14.0,14.1,14.0,13.7,13.7,14.0,13.7,13.7,14.0,14.0,13.7,13.7,14.2,13.7,13.7,14.0,13.7,13.7,13.7,13.7,14.0,13.7,13.7,13.7,13.7,13.7,14.0,13.7,13.7,14.1,13.7,13.7,14.5,14.0,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,14.2,14.2,13.7,14.0,14.1,13.7,13.7,14.1,13.7,14.0,13.7,14.0,14.3
RET,78.6,78.3,78.7,78.7,78.4,78.7,78.7,78.7,78.3,78.8,78.7,78.8,78.4,78.7,78.4,78.8,78.3,78.4,78.3,78.7,78.7,78.4,78.7,78.4,78.4,78.7,78.8,78.4,78.7,78.7,78.6,78.8,78.5,78.8,78.7,78.8,78.3,78.4,78.8,78.8,78.2,78.7,78.8,78.8,78.4,78.4,78.4,78.4,78.7,78.8,78.4,78.7,78.8,78.4,78.5,78.7,78.8,78.3,78.6,78.8,78.4,78.7,78.8,78.8,78.8,78.4,78.7,78.8,78.7,78.8,78.8,78.5,78.7,78.8,78.4,78.7,78.8,78.0,78.4,78.7,78.8,78.8,78.7,78.8,78.8,78.7,78.7,78.3,78.3,78.7,78.5,78.3,78.8,78.8,78.4,78.8,78.4,78.7,78.5,78.2
MUX,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
