FE,3.9,4.0,3.9,4.0,4.1,3.9,3.9,3.9,3.9,3.9,3.9,4.0,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.0,3.9,3.9,3.9,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.0,3.9,4.0
BAD,33.6,33.6,34.1,34.2,34.2,33.9,33.8,33.8,33.8,33.5,34.3,34.2,33.9,33.7,33.7,33.8,34.4,34.4,34.0,33.6,34.2,34.2,33.7,34.1,34.1,33.9,33.8,33.8,34.3,33.7,33.7,33.9,33.9,34.1,34.0,34.4,33.9,33.9,33.9,34.1,34.1,34.0,34.0,34.0,34.1,34.0,34.1,34.0,34.8,33.7
BE,9.5,9.4,9.3,9.3,9.3,9.3,9.3,9.4,9.4,9.4,9.3,9.3,9.3,9.4,9.4,9.4,9.3,9.3,9.4,9.4,9.3,9.4,9.3,9.3,9.4,9.4,9.3,9.4,9.3,9.4,9.4,9.3,9.4,9.3,9.3,9.3,9.4,9.3,9.3,9.3,9.4,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.4
RET,53.0,53.0,52.6,52.5,52.4,52.9,52.9,52.9,52.8,53.1,52.5,52.5,52.8,52.9,53.0,52.9,52.4,52.3,52.7,53.0,52.5,52.4,53.1,52.6,52.6,52.8,52.9,52.9,52.5,53.0,53.0,52.8,52.8,52.6,52.7,52.4,52.8,52.8,52.8,52.7,52.6,52.8,52.8,52.8,52.6,52.8,52.7,52.7,52.0,52.9
MUX,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
