FE,18.9,18.6,17.4,17.2,17.4,17.1,16.9,16.9,17.0,17.0,16.9,16.8,17.3,17.1,16.9,17.0,16.9,17.0,17.4,17.2,17.2,17.1,16.8,17.0,17.1,17.1,16.9,17.2,17.1,17.1,16.8,17.2,17.0,19.6,17.0,17.0,17.0,17.1,17.1,16.7,17.3,17.0,17.1,16.9,16.9,17.0,16.9,16.9,17.3,17.1,17.2,17.3,17.2,17.0,17.1,16.9,17.4,17.1,17.2,16.8,17.1,17.1,17.0,17.0,17.0,17.1,17.0,17.1,17.1,17.3,17.1,17.0,17.2,17.3,17.2,16.9,16.9,17.3,17.1,17.1,16.9,17.3,16.7,16.9,17.0,17.1,17.0,16.9,16.9,17.2,17.2,17.0,17.0,16.8,16.8,16.9,17.1,17.5,17.0,16.8
BAD,5.5,5.4,5.5,5.5,5.5,5.4,5.4,5.5,5.5,5.5,5.4,5.4,5.4,5.5,5.4,5.5,5.5,5.4,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.6,5.5,5.4,5.5,5.5,5.4,5.5,5.5,5.5,5.4,5.4,5.5,5.5,5.4,5.5,5.5,5.5,5.5,5.5,5.4,5.5,5.5,5.4,5.4,5.5,5.4,5.5,5.4,5.5,5.5,5.4,5.4,5.4,5.4,5.4,5.5,5.5,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.4,5.4,5.5,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.4,5.4,5.5,5.5,5.5,5.4,5.5,5.4,5.4,5.5,5.5,5.4,5.5,5.5
BE,35.5,35.4,35.2,35.7,35.4,35.6,35.9,35.7,35.6,35.6,35.7,35.9,35.3,35.5,35.8,35.6,35.6,35.8,35.4,35.6,35.5,35.6,35.6,35.6,35.5,35.6,35.7,35.5,35.5,35.6,35.6,35.6,35.7,34.1,35.6,35.6,35.7,35.6,35.7,35.8,35.4,35.7,35.6,35.7,35.6,35.5,35.7,35.8,35.3,35.5,35.8,35.6,35.6,35.7,35.5,35.7,35.4,35.7,35.8,35.8,35.7,35.6,36.1,35.7,35.6,36.0,35.7,35.7,35.6,35.8,35.6,35.7,35.6,35.7,35.5,35.6,36.0,35.6,35.6,35.6,35.7,36.3,35.9,35.8,35.6,35.5,36.0,35.8,35.7,35.5,35.6,35.7,35.6,36.0,35.9,35.7,35.5,35.6,35.7,35.9
RET,40.2,40.6,41.9,41.6,41.7,41.9,41.8,42.0,41.9,42.0,41.9,41.9,42.0,41.9,41.8,41.9,41.9,41.8,41.7,41.8,41.8,41.9,42.1,41.9,42.0,41.9,42.0,41.9,41.9,41.8,42.1,41.7,41.9,40.9,41.9,41.9,41.9,41.8,41.7,42.0,41.8,41.9,41.9,41.9,42.0,41.9,41.9,41.9,41.8,41.9,41.6,41.7,41.8,41.9,41.9,42.0,41.6,41.7,41.5,42.0,41.8,41.9,41.5,41.9,41.9,41.5,41.8,41.7,41.8,41.5,41.8,41.8,41.8,41.5,41.8,42.0,41.7,41.7,41.8,41.8,41.9,40.9,41.9,41.9,41.9,42.0,41.6,41.8,41.9,41.8,41.7,41.9,41.8,41.8,41.9,41.9,41.9,41.5,41.9,41.9
MUX,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
