FE,33.7,32.5,32.4,32.2,32.1,32.6,32.0,32.2,32.0,32.0,32.4,31.9,31.9,32.3,32.1,32.1,32.1,32.3,32.1,32.0,31.8,32.3,31.8,32.3,32.5,32.4,32.3,31.9,32.2,32.1,32.2,32.0,31.8,31.8,32.4,31.8,32.6,32.3,32.0,32.2,32.1,32.3,32.2,32.0,32.2,32.1,32.2,32.6,32.3,32.7,32.2,31.8,31.9,31.6,32.0,32.2,32.3,32.1,32.0,32.1,32.3,32.1,32.3,32.6,31.6,32.2,32.2,32.0,32.1,31.8,32.2,31.8,32.3,32.0,31.8,32.3,31.7,32.4,32.1,31.9,31.8,31.8,32.4,32.2,31.9,32.1,31.8,32.0,32.7,32.3,32.5,32.3,31.9,32.4,32.1,32.3,32.1,32.2,31.9,31.7
BAD,7.2,7.4,7.4,7.5,7.4,7.5,7.5,7.5,7.5,7.4,7.5,7.6,7.4,7.4,7.4,7.4,7.5,7.4,7.4,7.5,7.2,7.4,7.5,7.4,7.5,7.4,7.6,7.5,7.5,7.4,7.4,7.4,7.5,7.6,7.4,7.4,7.5,7.5,7.5,7.5,7.6,7.5,7.4,7.4,7.4,7.4,7.3,7.3,7.4,7.3,7.4,7.4,7.4,7.4,7.4,7.4,7.6,7.4,7.5,7.5,7.4,7.5,7.4,7.4,7.5,7.4,7.4,7.5,7.4,7.5,7.4,7.5,7.4,7.4,7.5,7.4,7.4,7.5,7.5,7.5,7.4,7.5,7.5,7.4,7.4,7.4,7.5,7.5,7.4,7.4,7.4,7.4,7.5,7.3,7.5,7.5,7.5,7.4,7.5,7.5
BE,28.9,28.1,28.0,28.0,28.2,27.7,28.1,27.9,28.0,28.1,28.0,28.1,28.7,27.9,28.0,28.1,28.0,28.0,28.0,28.2,29.1,28.0,28.2,28.0,27.8,28.0,27.8,28.1,27.9,28.1,28.0,28.1,28.2,28.1,28.3,28.3,27.9,28.0,28.1,28.0,28.0,28.0,28.0,28.1,28.0,28.1,27.8,27.8,28.1,27.7,28.0,28.2,28.2,28.3,28.1,28.1,28.0,28.2,28.2,28.1,28.0,28.1,28.1,27.9,28.2,28.0,28.1,28.1,28.0,28.2,28.1,28.2,28.0,28.0,28.2,28.0,28.3,27.9,28.0,28.1,28.3,28.2,28.0,28.1,28.2,28.1,28.2,28.0,27.7,28.0,28.0,27.9,28.1,27.9,28.1,28.0,28.0,27.9,28.1,28.3
RET,30.2,32.0,32.3,32.4,32.3,32.2,32.4,32.3,32.4,32.5,32.2,32.4,32.1,32.4,32.4,32.4,32.4,32.3,32.4,32.3,31.9,32.2,32.5,32.3,32.1,32.2,32.3,32.6,32.3,32.4,32.3,32.5,32.5,32.5,32.0,32.4,32.1,32.2,32.4,32.3,32.3,32.1,32.4,32.5,32.4,32.5,32.8,32.2,32.2,32.2,32.5,32.6,32.5,32.6,32.5,32.3,32.0,32.3,32.3,32.4,32.3,32.3,32.2,32.1,32.6,32.4,32.3,32.4,32.4,32.4,32.4,32.6,32.3,32.5,32.5,32.3,32.5,32.3,32.4,32.5,32.5,32.5,32.2,32.3,32.5,32.5,32.5,32.5,32.1,32.3,32.1,32.3,32.5,32.4,32.4,32.2,32.4,32.4,32.5,32.5
MUX,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
