FE,19.9,17.5,17.6,17.8,18.1,17.8,17.7,17.7,17.8,17.4,17.8,17.5,17.4,17.5,17.4,17.6,17.7,17.6,17.7,17.5,17.6,17.9,17.6,17.5,17.7,17.5,17.8,17.6,17.6,17.9,17.5,17.9,17.7,17.7,17.3,18.1,17.8,17.8,17.7,17.6,17.9,17.7,17.9,18.0,17.5,17.9,17.6,17.8,17.5,18.0,17.4,17.5,17.4,17.6,17.6,17.6,17.8,17.5,17.7,18.1,17.8,17.6,17.7,18.0,17.6,17.7,18.0,17.5,17.7,18.1,17.6,17.6,17.5,17.7,18.0,17.8,17.7,17.6,17.5,17.6,17.7,17.9,18.0,17.6,17.8,17.3,17.5,17.7,17.6,17.6,17.4,18.0,17.4,17.8,18.0,17.7,17.7,17.6,17.6,18.1
BAD,9.2,9.6,9.5,9.5,9.6,9.5,9.7,9.6,9.5,9.7,9.7,9.5,9.5,9.6,9.5,9.5,9.6,9.5,9.6,9.8,9.5,9.5,9.6,9.8,9.8,9.7,9.7,9.5,9.8,9.4,9.9,9.7,9.6,9.6,9.6,9.6,9.6,9.5,9.5,9.5,9.6,9.5,9.5,9.4,9.5,9.5,9.5,9.6,9.6,9.4,9.6,9.6,9.7,9.6,9.6,9.6,9.7,9.5,9.5,9.5,9.4,9.6,9.6,9.4,9.6,9.7,9.5,9.6,9.6,9.6,9.6,9.5,9.6,9.6,9.6,9.7,9.5,9.6,9.5,9.6,9.6,9.6,9.3,9.6,9.5,9.6,9.6,9.7,9.7,9.7,9.6,9.4,9.6,9.5,9.6,9.6,9.6,9.7,9.6,9.5
BE,20.6,20.0,20.1,20.1,20.1,20.4,20.2,20.1,20.5,20.1,20.2,20.1,20.2,20.1,20.7,20.2,20.0,20.0,20.2,21.5,20.2,20.0,20.1,20.1,20.5,20.2,20.0,20.1,21.3,20.0,21.4,20.0,20.0,20.0,20.0,20.0,20.0,20.1,20.0,20.0,20.1,20.1,20.2,20.1,20.2,20.2,20.1,19.9,20.1,20.1,20.4,20.1,20.1,20.1,20.1,20.1,20.0,20.3,20.3,20.0,20.1,20.0,20.2,20.2,20.1,20.1,20.2,20.0,20.1,20.1,20.1,20.1,20.2,20.1,20.1,19.9,20.2,20.1,20.1,20.0,19.9,20.2,20.0,20.0,20.0,20.1,20.3,20.1,20.2,19.9,20.1,20.2,20.3,20.1,20.0,20.2,20.1,20.2,20.0,20.2
RET,50.3,52.9,52.8,52.6,52.2,52.3,52.4,52.6,52.1,52.9,52.3,52.9,52.9,52.8,52.3,52.7,52.7,52.9,52.5,51.2,52.7,52.6,52.8,52.7,52.1,52.6,52.5,52.7,51.3,52.6,51.2,52.3,52.6,52.7,53.0,52.3,52.6,52.6,52.8,52.9,52.4,52.7,52.3,52.5,52.8,52.4,52.8,52.8,52.9,52.5,52.6,52.8,52.7,52.8,52.7,52.7,52.5,52.7,52.5,52.4,52.7,52.7,52.5,52.4,52.7,52.5,52.2,52.8,52.6,52.2,52.7,52.8,52.7,52.7,52.3,52.5,52.7,52.7,53.0,52.8,52.8,52.3,52.6,52.7,52.7,53.0,52.6,52.5,52.5,52.7,53.0,52.4,52.7,52.6,52.4,52.5,52.6,52.5,52.7,52.2
MUX,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
