FE,3.3,3.1,3.3,3.1,3.0,3.1,3.0,3.0,3.2,3.1,3.0,3.1,3.1,3.5,3.1,3.0,3.1,3.1,3.1,3.3,3.1,3.1,3.0,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.0,3.1,3.5,3.1,3.1,3.2,3.0,3.2,3.1,3.0,3.0,3.1,3.1,3.2,3.1,3.1,3.1,3.0,3.1,3.1,3.0,3.1,3.0,3.3,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.1,3.1,3.2,3.0,3.2,3.0,3.2,3.1,3.3,3.0,3.2,3.1,3.1,3.2,3.4,3.1,3.4,3.2,3.1,3.0,3.1,3.3,3.1,3.2,3.1,3.2,3.1,3.1,3.2,3.1,3.0,3.0,3.2,3.1
BAD,12.5,12.6,12.6,12.4,12.4,12.6,12.7,12.5,12.6,12.5,12.5,12.4,12.7,12.6,12.6,12.5,12.6,12.4,12.6,12.9,12.5,12.5,12.7,12.7,12.6,12.6,12.6,12.6,12.6,12.4,12.5,12.6,12.7,12.7,12.5,12.6,12.4,12.7,12.7,12.6,12.7,12.6,12.7,12.6,12.4,12.5,12.7,12.5,12.7,12.7,12.5,12.7,12.6,12.5,12.6,12.7,12.6,12.5,12.6,12.4,12.6,12.6,12.7,12.4,12.6,12.5,12.6,12.5,12.5,12.6,12.7,12.5,12.5,12.6,12.6,12.4,12.5,12.6,12.5,12.7,12.5,12.8,12.6,12.7,12.5,12.5,12.6,12.7,12.5,12.7,12.6,12.7,12.6,12.4,12.8,12.5,12.4,12.6,12.8,12.7
BE,12.8,12.9,13.3,12.8,12.8,12.8,12.8,12.8,13.2,12.8,13.0,12.9,12.8,13.2,12.9,12.8,12.8,12.8,12.8,13.3,12.8,12.8,12.8,12.8,12.8,13.1,12.8,12.8,12.7,12.8,12.8,12.8,12.9,12.8,12.8,12.8,13.0,12.8,12.9,13.2,12.8,13.4,12.8,12.8,12.9,12.8,12.7,13.3,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.7,12.9,12.8,12.9,13.1,12.8,12.8,12.8,12.8,12.8,12.8,12.8,13.3,12.8,13.1,12.9,13.3,12.8,13.4,12.8,13.2,12.8,12.8,13.2,12.8,12.7,12.9,13.2,12.8,12.8,12.8,13.2,12.9,13.0,12.8,13.3,12.9,13.2,13.2,12.9,12.8,12.9,12.9,12.8
RET,71.4,71.3,70.8,71.7,71.7,71.5,71.5,71.7,71.0,71.6,71.4,71.6,71.4,70.6,71.4,71.7,71.6,71.7,71.4,70.5,71.6,71.6,71.5,71.4,71.5,71.1,71.4,71.6,71.6,71.7,71.6,71.5,71.3,71.4,71.7,71.5,71.2,71.5,71.4,71.1,71.5,70.8,71.5,71.6,71.6,71.7,71.5,71.0,71.5,71.4,71.5,71.5,71.5,71.6,71.6,71.5,71.6,71.3,71.5,71.6,71.2,71.5,71.4,71.7,71.6,71.7,71.5,71.6,71.0,71.5,71.1,71.5,71.0,71.5,70.7,71.7,71.1,71.5,71.6,70.9,71.2,71.4,71.1,71.0,71.7,71.6,71.5,70.8,71.5,71.1,71.5,70.9,71.4,71.3,70.9,71.5,71.7,71.6,71.1,71.4
MUX,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
